PLU,Barcode,Name,Expiry,W/P,Template,ean13,MRP,USP
8131,8131,Desi Kolkata Pabda - Whole (480g to 550g Pack),5,0,1,8904305601615,449,0.82
8132,8132,Desi Kolkata Pabda- Whole Cleaned(480g to 550g Pack),5,0,1,8904305601622,691,1.26
8133,8133,Singhara / Aar - Curry Cut (480g to 500g Pack),5,0,1,8904305601721,620,1.24
8134,8134,Singhara / Aar - Steaks (480g to 500g Pack),5,0,1,8904305601738,807,1.61
8135,8135,Squid - Whole Cleaned (480g to 550g Pack),5,0,1,8904305601820,611,1.22
8136,8136,Squid - Tubes (240g to 260g Pack),5,0,1,8904305601837,442,1.7
8137,8137,Squid - Tube & Tentacles (240g to 260g pack),5,0,1,8904305601844,327,1.36
0,0,0,5,0,1,0,0,0
0,0,0,5,0,1,0,0,0
0,0,0,5,0,1,0,0,0
0,0,0,5,0,1,0,0,0
